id,name,dasha
1709,Meditating in Turiya (मराठी),Mercury
1710,Om Chanting with Turiya (मराठी),Ketu
1711,108 times Om Chanting (मराठी),Venus
1712,21 Times Om Chanting (मराठी),Sun
1714,Introduction to Ganesh Mantra (हिन्दी),Moon
1715,Ganesh Mantra - 108 Chants (हिन्दी),Mars
1717,Introduction to Ganesh Mantra (मराठी),Rahu
1718,Ganesh Mantra - 108 Chants (मराठी),Jupiter
1787,Navratri Special - Maa Durga Sadhana,Saturn
1806,Introduction to Saraswati Mantra (हिन्दी),Mercury
1807,Saraswati Mantra - 108 Chants (हिन्दी),Ketu
1808,Introduction to Vitteshwar Mantra (हिन्दी),Venus
1809,Vitteshwar Mantra - 108 Chants (हिन्दी),Sun
1817,Introduction to Shiva Mantra (हिन्दी),Moon
1818,Benefits of the Mantra (हिन्दी),Mars
1819,Daily Mantra Sadhana (हिन्दी),Rahu
1820,108 times Chanting (हिन्दी),Jupiter
1823,Introduction to Bhairav (हिन्दी),Saturn
1824,Importance of Bhairav Mantra (हिन्दी),Mercury
1825,Bhairav as Guru (हिन्दी),Ketu
1826,Connect with Bhairav (हिन्दी),Venus
1827,Bhairav Mantra Sadhana (हिन्दी),Sun
1830,About Shiva (हिन्दी),Moon
1831,Significance of Shiva (हिन्दी),Mars
1832,How to Worship Shiva (हिन्दी),Rahu
1833,Chanting of Namah Shivay (हिन्दी),Jupiter
1836,Batuk Bhairav: Parichay (हिन्दी),Saturn
1837,Batuk Bhairav: Itihasa (हिन्दी),Mercury
1838,Batuk Bhairav: Daily Sadhana (हिन्दी),Ketu
1839,Batuk Bhairav: Upasana 21 Day Special (हिन्दी),Venus
1840,Batuk Bhairav Sankalp (3 rounds) (हिन्दी),Sun
1841,Batuk Bhairav Sankalp (9 rounds) (हिन्दी),Moon
